Class,Order,Family,Genus-Species,Part,Patient Name,Image Type,Scan Options,Pixel Spacing (mm),Number of DICOM Files,Size of All DICOM Files (MB),File Path in ZIP
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,humerus,Cephalophys_sylvicultor_humerus,AXIAL,AXIAL MODE,0.242188,176,88,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\humerus
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,humerus,Cephalophys_sylvicultor_humerus,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\humerus
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,metacarpus,Cephalophus_sylvicultor_metacarp,AXIAL,AXIAL MODE,0.1875,152,76,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\metacarpus
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,metacarpus,Cephalophus_sylvicultor_metacarp,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\metacarpus
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,metatarsus,Cephalophus_sylvicultor_metatars,AXIAL,AXIAL MODE,0.1875,160,80,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\metatarsus
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,metatarsus,Cephalophus_sylvicultor_metatars,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\metatarsus
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,radius ulna,Cephalophus_sylvicultor_radulna,AXIAL,AXIAL MODE,0.234375,200,100,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\radius ulna
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,radius ulna,Cephalophus_sylvicultor_radulna,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\radius ulna
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,tibia,Cephalophus_sylvicultor_tibia,AXIAL,AXIAL MODE,0.248047,215,107.5,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\tibia
Mammala,Artiodactyla,Bovidae,Cephalophus_silvicultor-Yellow_backed_duiker,tibia,Cephalophus_sylvicultor_tibia,LOCALIZER,SCOUT MODE,0.545455,2,3.1,Artiodactyla\Bovidae\Cephalophus_silvicultor-Yellow_backed_duiker\tibia
